Gross weight of truck,Leg Distance,Load of leg (lbs),Leg Unloading Hrs
4997.517951,7.299967701,583.0944444,0.525909091
4997.517951,57.98370416,2634.239222,0.617070707
4997.517951,56.14551476,2081.802279,0.592515152
5483.971628,82.79591928,3117.497093,0.638545455
5483.971628,13.49870454,2095.773292,0.593141414
5483.971628,57.01778607,2881.382967,0.628060606
7431.255272,71.25161184,1143.745105,0.550828283
7431.255272,103.3012452,2926.137,0.630050505
7431.255272,58.35426063,2095.773292,0.593141414
7058.958538,57.7973166,2464.376476,0.609525253
7058.958538,134.8091914,975.8331923,0.543363636
7058.958538,50.90000339,941.823963,0.541858586
6096.681399,57.7973166,2464.376476,0.609525253
6096.681399,41.9558491,2207.211753,0.598090909
6096.681399,19.37886325,1069.548122,0.547535354
8047.532055,29.92989826,2207.211753,0.598090909
8047.532055,95.95472503,2095.773292,0.593141414
8047.532055,29.67405457,5009.9348,0.722656566
6725.618674,29.92989826,2207.211753,0.598090909
6725.618674,27.73118655,1366.668884,0.560737374
6407.197049,50.83575663,2040.741796,0.59069697
6407.197049,31.03339221,1548.873819,0.568838384
6407.197049,73.34454358,2926.137,0.630050505
6622.789089,107.1127265,1932.18623,0.585868687
6622.789089,85.33451414,3714.769667,0.665090909
18649.63127,34.29938559,8200.013305,0.864444444
18649.63127,61.08596585,1581.165385,0.570272727
18649.63127,61.18394506,1968.493892,0.587484848
20609.89439,48.39199244,7583.803435,0.837050505
20609.89439,117.7976606,3762.89656,0.667232323
16932.32239,29.92989826,13243.27052,1.088585859
16932.32239,98.35349764,1356.349773,0.560272727
16932.32239,46.09094765,1270.651739,0.556464646
16686.44094,32.78452724,3365.618954,0.649575758
16686.44094,20.8837963,13243.27052,1.088585859
16686.44094,101.6150508,3124.174425,0.638848485
12223.61843,92.23803674,10774.005,0.978838384
12223.61843,85.7562214,1952.606835,0.586777778
12223.61843,75.05970131,6889.84,0.806212121
11439.15894,103.9961196,1672.166118,0.574313131
11439.15894,45.06240145,4341.030542,0.692929293
11439.15894,106.2332245,1407,0.562525253
19909.01266,72.8671413,9068.31435,0.903030303
19909.01266,69.06819689,8463.888741,0.876171717
19909.01266,19.7342446,1807.122857,0.580313131
12703.04977,14.67988116,5649.6327,0.751090909
12703.04977,22.98372566,12620.31923,1.06089899
12703.04977,119.5264809,2926.137,0.630050505
14988.28022,55.14267229,11438.00727,1.008353535
14988.28022,40.13957282,7366.623867,0.82740404
14988.28022,82.10738053,2040.741796,0.59069697
5982.586164,46.43559569,1385.866154,0.561585859
5982.586164,77.29610982,1270.651739,0.556464646
5982.586164,81.76023878,1587.76,0.570565657
9779.732032,112.6044957,1968.493892,0.587484848
9779.732032,59.04660017,4001.487383,0.677838384
9779.732032,19.55004917,1437.214107,0.563868687
11352.1559,144.7066286,2542.109105,0.612979798
11352.1559,130.4845189,2506.794319,0.61140404
9913.951465,135.6647023,6303.252478,0.780141414
9913.951465,73.30981673,5264.784132,0.733989899
9913.951465,40.93451609,3242.167333,0.644090909
6935.147622,241.5477099,2618.354066,0.616363636
6935.147622,25.22769042,4316.793556,0.691848485
7117.732971,60.50933983,1281.598789,0.556959596
7117.732971,113.0652839,5836.134182,0.759373737
17864.91538,18.79242446,11040.49538,0.990686869
17864.91538,9.213482875,6824.42,0.80330303
6102.902405,59.78943159,4021.444905,0.678727273
6102.902405,75.96748597,2081.4575,0.592505051
9916.217487,81.34591366,4159.124552,0.684848485
9916.217487,4.05360663,5757.092935,0.755868687
7464.923652,44.34182218,4794.064525,0.713060606
7464.923652,76.78605792,2670.859127,0.61869697
7700.492498,45.62452291,3864.309404,0.671737374
7700.492498,26.46959084,3836.183095,0.670494949
7411.680619,22.22265567,5199.727667,0.731090909
7411.680619,46.10045429,2211.952952,0.59830303
8627.729196,3.10333331,3453.609196,0.653484848
8627.729196,26.0015745,5174.12,0.729959596
5935.059887,113.2018418,2670.859127,0.61869697
5935.059887,17.57499367,3264.20076,0.645070707
